Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
allow_call_time_pass_reference;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"PHP_INI_ALL in PHP 4.0.0. Removed in PHP 5.4.0.";;5.4.0;;;
allow_url_fopen;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 4.3.4.";;;;;
allow_url_include;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 5.2.0.";5.2.0;;;;
always_populate_raw_post_data;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3. Available since PHP 4.1.0.";4.1.0;;;;
apc.cache_by_default;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"PHP_INI_SYSTEM in APC <= 3.0.12. Available since APC 3.0.0.";;;APC;3.0.0;
apc.enabled;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_SYSTEM in APC 2. PHP_INI_ALL in APC <= 3.0.12.";;;;;
apc.enable_cli;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.7.";;;APC;3.0.7;
apc.file_update_protection;VALUE_TYPE_INTEGER;2;PHP_INI_SYSTEM;"Available since APC 3.0.6.";;;APC;3.0.6;
apc.filters;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
apc.gc_ttl;VALUE_TYPE_INTEGER;3600;PHP_INI_SYSTEM;"";;;;;
apc.include_once_override;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.12.";;;APC;3.0.12;
apc.localcache;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.14.";;;APC;3.0.14;
apc.localcache.size;VALUE_TYPE_INTEGER;512;PHP_INI_SYSTEM;"Available since APC 3.0.14.";;;APC;3.0.14;
apc.max_file_size;VALUE_TYPE_QUANTITY;1M;PHP_INI_SYSTEM;"Available since APC 3.0.7.";;;APC;3.0.7;
apc.mmap_file_mask;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
apc.num_files_hint;VALUE_TYPE_INTEGER;1000;PHP_INI_SYSTEM;"";;;;;
apc.optimization;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"PHP_INI_SYSTEM in APC 2. Removed in APC 3.0.13.";;;APC;;3.0.13
apc.report_autofilter;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.11.";;;APC;3.0.11;
apc.rfc1867;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.13.";;;APC;3.0.13;
apc.rfc1867_freq;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
apc.rfc1867_name;VALUE_TYPE_STRING;APC_UPLOAD_PROGRESS;PHP_INI_SYSTEM;"";;;;;
apc.rfc1867_prefix;VALUE_TYPE_STRING;upload_;PHP_INI_SYSTEM;"";;;;;
apc.shm_segments;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"";;;;;
apc.shm_size;VALUE_TYPE_INTEGER;30;PHP_INI_SYSTEM;"";;;;;
apc.slam_defense;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.stat;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since APC 3.0.10.";;;APC;3.0.10;
apc.stat_ctime;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.13.";;;APC;3.0.13;
apc.ttl;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.user_entries_hint;VALUE_TYPE_INTEGER;4096;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.user_ttl;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.write_lock;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since APC 3.0.11.";;;APC;3.0.11;
apd.bitmask;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Removed in apd 0.9.";;;APD;;0.9
apd.dumpdir;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
apd.statement_tracing;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since apd 0.9.";;;APD;0.9;
arg_separator.input;VALUE_TYPE_STRING;&;PHP_INI_PERDIR;"Available since PHP 4.0.5.";4.0.5;;;;
arg_separator.output;VALUE_TYPE_STRING;&;PHP_INI_ALL;"Available since PHP 4.0.5.";4.0.5;;;;
asp_tags;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"PHP_INI_ALL in PHP 4.0.0.";;;;;
assert.active;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
assert.bail;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
assert.callback;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
assert.exception;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 7.0.0.";7.0.0;;;;
assert.quiet_eval;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
assert.warning;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
auto_append_file;VALUE_TYPE_STRING;NULL;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3.";;;;;
auto_detect_line_endings;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
auto_globals_jit;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"Available since PHP 5.0.0.";5.0.0;;;;
auto_prepend_file;VALUE_TYPE_STRING;NULL;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3.";;;;;
axis2.client_home;VALUE_TYPE_STRING;~/work/axisc/c/deply;PHP_INI_ALL;"";;;;;
axis2.enable_exception;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
axis2.enable_trace;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
axis2.log_path;VALUE_TYPE_STRING;/tmp;PHP_INI_ALL;"";;;;;
bcmath.scale;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
bcompiler.enabled;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since bcompiler 0.8.";;;BCOMPILER;0.8;
blenc.key_file;VALUE_TYPE_STRING;/usr/local/etc/blenckeys;PHP_INI_ALL;"";;;;;
browscap;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
cgi.check_shebang_line;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since PHP 5.2.1.";5.2.1;;;;
cgi.discard_path;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 5.3.0.";5.3.0;;;;
cgi.fix_pathinfo;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 5.2.0. Available since PHP 4.3.0.";4.3.0;;;;
cgi.force_redirect;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 5.2.0. Available since PHP 4.2.0.";4.2.0;;;;
cgi.nph;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.5.";4.3.5;;;;
cgi.redirect_status_env;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 5.2.0. Available since PHP 4.2.0.";4.2.0;;;;
cgi.rfc2616_headers;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
child_terminate;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.0.5.";4.0.5;;;;
cli.pager;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 5.4.0.";5.4.0;;;;
cli.prompt;VALUE_TYPE_STRING;\\b \\> ;PHP_INI_ALL;"Available since PHP 5.4.0.";5.4.0;;;;
cli_server.color;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 5.4.0.";5.4.0;;;;
coin_acceptor.autoreset;VALUE_TYPE_BOOLEAN;On;PHP_INI_ALL;"Removed in coin_acceptor 0.2.";;;COIN_ACCEPTOR;;0.2
coin_acceptor.auto_initialize;VALUE_TYPE_BOOLEAN;Off;PHP_INI_ALL;"Available since coin_acceptor 0.2.";;;COIN_ACCEPTOR;0.2;
coin_acceptor.auto_reset;VALUE_TYPE_BOOLEAN;On;PHP_INI_ALL;"Available since coin_acceptor 0.2.";;;COIN_ACCEPTOR;0.2;
coin_acceptor.command_function;VALUE_TYPE_BOOLEAN;Off;PHP_INI_ALL;"Available since coin_acceptor 0.3.";;;COIN_ACCEPTOR;0.3;
coin_acceptor.delay;VALUE_TYPE_INTEGER;53132;PHP_INI_ALL;"Removed in coin_acceptor 0.2.";;;COIN_ACCEPTOR;;0.2
coin_acceptor.delay_coins;VALUE_TYPE_INTEGER;53132;PHP_INI_ALL;"Available since coin_acceptor 0.2.";;;COIN_ACCEPTOR;0.2;
coin_acceptor.delay_prom;VALUE_TYPE_INTEGER;55748;PHP_INI_ALL;"Available since coin_acceptor 0.2.";;;COIN_ACCEPTOR;0.2;
coin_acceptor.device;VALUE_TYPE_STRING;/dev/ttyS1;PHP_INI_ALL;"Removed in coin_acceptor 0.2.";;;COIN_ACCEPTOR;;0.2
coin_acceptor.lock_on_close;VALUE_TYPE_BOOLEAN;Off;PHP_INI_ALL;"Available since coin_acceptor 0.2.";;;COIN_ACCEPTOR;0.2;
coin_acceptor.start_unlocked;VALUE_TYPE_BOOLEAN;On;PHP_INI_ALL;"Available since coin_acceptor 0.2.";;;COIN_ACCEPTOR;0.2;
com.allow_dcom;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 4.0.5.";4.0.5;;;;
com.autoregister_casesensitive;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"PHP_INI_SYSTEM in PHP 4. Available since PHP 4.1.0.";4.1.0;;;;
com.autoregister_typelib;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"PHP_INI_SYSTEM in PHP 4. Available since PHP 4.1.0.";4.1.0;;;;
com.autoregister_verbose;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"PHP_INI_SYSTEM in PHP 4. Available since PHP 4.1.0.";4.1.0;;;;
com.code_page;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
com.typelib_file;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 4.0.5.";4.0.5;;;;
curl.cainfo;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"Available since PHP 5.3.7.";5.3.7;;;;
daffodildb.default_host;VALUE_TYPE_STRING;localhost;PHP_INI_ALL;"";;;;;
daffodildb.default_password;VALUE_TYPE_STRING;daffodil;PHP_INI_ALL;"";;;;;
daffodildb.default_socket;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
daffodildb.default_user;VALUE_TYPE_STRING;DAFFODIL;PHP_INI_ALL;"";;;;;
daffodildb.port;VALUE_TYPE_INTEGER;3456;PHP_INI_ALL;"";;;;;
date.default_latitude;VALUE_TYPE_FLOAT;31.7667;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
date.default_longitude;VALUE_TYPE_FLOAT;35.2333;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
date.sunrise_zenith;VALUE_TYPE_FLOAT;90.583333;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
date.sunset_zenith;VALUE_TYPE_FLOAT;90.583333;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
date.timezone;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 5.1.0.";5.1.0;;;;
dba.default_handler;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.3.3.";4.3.3;;;;
dbx.colnames_case;VALUE_TYPE_STRING;unchanged;PHP_INI_SYSTEM;"Available since PHP 4.3.0. Removed in PHP 5.1.0.";4.3.0;5.1.0;;;
default_charset;VALUE_TYPE_STRING;UTF-8;PHP_INI_ALL;"Default to ""UTF-8"" since PHP >= 5.6.0, empty for PHP < 5.6.0.";;;;;
default_mimetype;VALUE_TYPE_STRING;text/html;PHP_INI_ALL;"";;;;;
default_socket_timeout;VALUE_TYPE_INTEGER;60;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
define_syslog_variables;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Removed in PHP 5.4.0.";;5.4.0;;;
detect_unicode;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.1.0. Renamed to zend.detect_unicode since PHP 5.4.0.";5.1.0;;;;
disable_classes;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"only Available since PHP 4.3.2.";4.3.2;;;;
disable_functions;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"only Available since PHP 4.0.1.";4.0.1;;;;
display_errors;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
display_startup_errors;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.0.3.";4.0.3;;;;
docref_ext;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.3.2.";4.3.2;;;;
docref_root;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
doc_root;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
enable_dl;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"This deprecated feature will certainly be removed in the future.";;;;;
enable_post_data_reading;VALUE_TYPE_BOOLEAN;On;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
engine;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 4.0.5.";4.0.5;;;;
error_append_string;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
error_log;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
error_prepend_string;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
error_reporting;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
exif.decode_jis_intel;VALUE_TYPE_STRING;JIS;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
exif.decode_jis_motorola;VALUE_TYPE_STRING;JIS;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
exif.decode_unicode_intel;VALUE_TYPE_STRING;UCS-2LE;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
exif.decode_unicode_motorola;VALUE_TYPE_STRING;UCS-2BE;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
exif.encode_jis;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
exif.encode_unicode;VALUE_TYPE_STRING;ISO-8859-15;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
exit_on_timeout;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 5.3.0";5.3.0;;;;
expect.logfile;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
expect.loguser;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
expect.timeout;VALUE_TYPE_INTEGER;10;PHP_INI_ALL;"";;;;;
expose_php;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"only";;;;;
extension;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"only";;;;;
extension_dir;VALUE_TYPE_STRING;/path/to/php;PHP_INI_SYSTEM;"";;;;;
fastcgi.impersonate;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 5.2.0. Available since PHP 4.3.0.";4.3.0;;;;
fastcgi.logging;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 5.2.0. Available since PHP 4.4.0.";4.4.0;;;;
fbsql.allow_persistent;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since PHP 4.2.0.";4.2.0;;;;
fbsql.autocommit;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.batchSize;VALUE_TYPE_INTEGER;1000;PHP_INI_SYSTEM;"Available since PHP 4.2.0. Removed in PHP 5.1.0.";4.2.0;5.1.0;;;
fbsql.batchsize;VALUE_TYPE_INTEGER;1000;PHP_INI_ALL;"Available since PHP 5.1.0.";5.1.0;;;;
fbsql.default_database;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.default_database_password;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.default_host;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.default_password;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.default_user;VALUE_TYPE_STRING;_SYSTEM;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.generate_warnings;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.max_connections;VALUE_TYPE_INTEGER;128;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.max_links;VALUE_TYPE_INTEGER;128;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.max_persistent;VALUE_TYPE_INTEGER;-1;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.max_results;VALUE_TYPE_INTEGER;128;PHP_INI_SYSTEM;"Available since PHP 4.0.6.";4.0.6;;;;
fbsql.show_timestamp_decimals;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 5.1.5.";5.1.5;;;;
file_uploads;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 4.2.3. Available since PHP 4.0.3.";4.0.3;;;;
filter.default;VALUE_TYPE_STRING;unsafe_raw;PHP_INI_PERDIR;"PHP_INI_ALL in filter <= 0.9.4. Available since PHP 5.2.0.";5.2.0;;;;
filter.default_flags;VALUE_TYPE_STRING;NULL;PHP_INI_PERDIR;"PHP_INI_ALL in filter <= 0.9.4. Available since PHP 5.2.0.";5.2.0;;;;
from;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
gd.jpeg_ignore_warning;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.1.3.";5.1.3;;;;
geoip.custom_directory;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"Available since geoip 1.0.1.";;;GEOIP;1.0.1;
geoip.database_standard;VALUE_TYPE_STRING;GeoIP.dat;PHP_INI_ALL;"Removed in geoip 1.0.1.";;;GEOIP;;1.0.1
hidef.ini_path;VALUE_TYPE_STRING;(char*)default_ini_path;PHP_INI_SYSTEM;"";;;;;
highlight.bg;VALUE_TYPE_STRING;#FFFFFF;PHP_INI_ALL;"Removed in PHP 5.4.0.";;5.4.0;;;
highlight.comment;VALUE_TYPE_STRING;#FF8000;PHP_INI_ALL;"";;;;;
highlight.default;VALUE_TYPE_STRING;#0000BB;PHP_INI_ALL;"";;;;;
highlight.html;VALUE_TYPE_STRING;#000000;PHP_INI_ALL;"";;;;;
highlight.keyword;VALUE_TYPE_STRING;#007700;PHP_INI_ALL;"";;;;;
highlight.string;VALUE_TYPE_STRING;#DD0000;PHP_INI_ALL;"";;;;;
html_errors;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"PHP_INI_SYSTEM in PHP <= 4.2.3. Available since PHP 4.0.2.";4.0.2;;;;
htscanner.config_file;VALUE_TYPE_STRING;.htaccess;PHP_INI_SYSTEM;"";;;;;
htscanner.default_docroot;VALUE_TYPE_STRING;/;PHP_INI_SYSTEM;"";;;;;
htscanner.default_ttl;VALUE_TYPE_INTEGER;300;PHP_INI_SYSTEM;"Available since htscanner 0.6.0.";;;HTSCANNER;0.6.0;
htscanner.stop_on_error;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since htscanner 0.7.0.";;;HTSCANNER;0.7.0;
http.allowed_methods;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 0.4.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.4.0;1.0.0
http.allowed_methods_log;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 0.12.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.12.0;1.0.0
http.cache_log;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 0.8.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.8.0;1.0.0
http.composite_log;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 0.12.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.12.0;1.0.0
http.etag.mode;VALUE_TYPE_STRING;MD5;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.etag_mode;VALUE_TYPE_STRING;MD5;PHP_INI_ALL;"Available since pecl_http 0.12.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.12.0;1.0.0
http.force_exit;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since pecl_http 0.18.0.";;;PECL_HTTP;0.18.0;
http.log.allowed_methods;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.log.cache;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.log.composite;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.log.not_found;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.log.redirect;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.ob_deflate_auto;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since pecl_http 0.21.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.21.0;1.0.0
http.ob_deflate_flags;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since pecl_http 0.21.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.21.0;1.0.0
http.ob_inflate_auto;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since pecl_http 0.21.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.21.0;1.0.0
http.ob_inflate_flags;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since pecl_http 0.21.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.21.0;1.0.0
http.only_exceptions;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since pecl_http 0.11.0.";;;PECL_HTTP;0.11.0;
http.persistent.handles.ident;VALUE_TYPE_STRING;GLOBAL;PHP_INI_ALL;"Available since pecl_http 1.5.0.";;;PECL_HTTP;1.5.0;
http.persistent.handles.limit;VALUE_TYPE_INTEGER;-1;PHP_INI_SYSTEM;"Available since pecl_http 1.5.0.";;;PECL_HTTP;1.5.0;
http.redirect_log;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 0.12.0. Removed in pecl_http 1.0.0.";;;PECL_HTTP;0.12.0;1.0.0
http.request.datashare.connect;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since pecl_http 1.3.0.";;;PECL_HTTP;1.3.0;
http.request.datashare.cookie;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since pecl_http 1.3.0.";;;PECL_HTTP;1.3.0;
http.request.datashare.dns;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since pecl_http 1.3.0.";;;PECL_HTTP;1.3.0;
http.request.datashare.ssl;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since pecl_http 1.3.0.";;;PECL_HTTP;1.3.0;
http.request.methods.allowed;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.request.methods.custom;VALUE_TYPE_STRING;;PHP_INI_PERDIR;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.send.deflate.start_auto;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.send.deflate.start_flags;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.send.inflate.start_auto;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.send.inflate.start_flags;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
http.send.not_found_404;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since pecl_http 1.0.0.";;;PECL_HTTP;1.0.0;
ibase.allow_persistent;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"";;;;;
ibase.dateformat;VALUE_TYPE_STRING;%Y-%m-%d;PHP_INI_ALL;"";;;;;
